AG Part #,SKU,Name,Source,Supplier Part #,Cost per,Order Date,Notes,Utilized,Secondary Source,Supplier Part #
559f,SG01544,"Bandit Vertical Stabilizer - Spar, Carbon fiber tube, 3/4"" x .82"" x 39""",Clearwater Composites,0.750-0.820-TW-96,$84.87 ,,tail assembly spar,PL2,,
559g,SG01544,"Bandit Vertical Stabilizer Beacon Light Insert .86""OD x 3/4""ID x 36""",McMaster,5287T625,,,carbon fiber tube to cut into size,PL2,,
559h,SG01544,"Bandit Vertical Stabilizer Wood Servo Plate 2"" x 3""",Strata-G,SG01567-001,$0.00 ,4/22/2025,vertical stabilizer,PL2,,
472,SG01296,Bandit Wing,StrataG,,,,,PL2,,
472a,SG01296,"Bandit Wing, Carbon Fiber Tube, .875"" x .991"" x 36""",Clearwater Composites,0.875-0.990-TW-36,$49.50 ,12/2/2024,Bandit wing spar,PL2,,
472b,SG01296,"Bandit Wing, Carbon Fiber Tube, 1 5/8"" x 1 3/4"" x 72""",Clearwater Composites,1.625-1.753-TW-72,$221.50 ,12/2/2024,Bandit wing spar,PL2,,
472c,SG01296,"Bandit Wing, Carbon Fiber Tube, 1.5"" x 1.616"" x 72""",Clearwater Composites,1.500-1.616-TW-72,$210.00 ,12/2/2024,Bandit wing spar,PL2,,
472d,SG01296,"Bandit Wing, Carbon Fiber Tube, 1"" X 1 1/8"" x72"" ",Clearwater Composites,1.000-1.128-TW-72,$158.00 ,12/2/2024,Bandit wing spar,PL2,,
472e,SG01296,"Bandit Wing, Wood, Finnish Birch 24"" x 48"" x 5mm",Aircraft Spruce & Specialty,02-20750,$88.90 ,12/4/2024,Bandit wing ribs,PL2,,
472f,SG01299-103,Bandit Wing Aileron,StrataG,,,,,PL2,,
472f(1),SG01299-103,"Bandit Wing Aileron, Carbon Fiber Tube, 1/8"" wall, 1/2"" OD, 33"" long",McMaster,8069N12,$192.85 ,5/21/2025,aileron pivot tube,PL2,,
472f(2),SG01299-103,"Bandit Wing Aileron, Wood, end caps teardrop 5 1/4"" x 1 1/4""",StrataG,SG01299-003,N/A,4/3/2025,customer supplied part,PL2,,
16,,"Barrel Pump, ATD",Walmart,,$36.99 ,3/30/2022,,Facilities,,
54,,"Battery, 3.6v lithium",Amazon,,$29.99 ,1/31/2025,for machine probes,Facilities,,
17,,"Battery, SR44",Amazon,,,1/17/2025,calipers,Facilities,,
123,,"Batteries, Duracell® D Alkaline 12/box",Uline,S-15607,$19.00 ,11/9/2021,,Facilities,,
517,,"Batteries, Uline Ultra AAA Alkaline 24/pack",Uline,S-22762,$8.00 ,2/26/2020,,Facilities,,
518,,"Batteries, Uline Ultra LR44 Coin Cell 5/pack",Uline,S-23538,$6.00 ,3/15/2021,,Facilities,,
18,,"Belt, A33 1/2""wide 5/16"" thick",Grainger,5X995,$11.85 ,2/22/2022,for exhaust system,Facilities,,
19,,"Belt, A58 1/2"" wide, 60"" outside length",MSC Industrial,43809136,$12.00 ,5/15/2024,,Facilities,,
20,,"Binder clips, 1/2""",Uline,S-25650,$9.00 ,11/25/2024,,Admin,,
21,,"Bins, plastic, 8.5x12x4, shelf",Uline,S-13398,$2.85 ,1/25/2022,,Facilities,,
22,,Blade Disposal Container jumbo yellow,Uline,S-18775,$18.00 ,2/3/2022,,Facilities,,
573,,"Blades, snap-off",Amazon,X003YCDZ13,$7.80 ,6/16/2025,paint,PL1,,
23,,"Blades, Utility 100 ct Workpro Dispenser",amazon.com,B015W3AKDQ,$9.98 ,6/12/2025,,Facilities,,
25,,Bondo 20126 Fiberglass Resin Liquid Hardener - 22 ml,"
Amazon",,$14.25 ,9/12/2024,,PL1,,
26,,"Box 22""x18"" easy fold mailers",Uline,S-14242,$4.10 ,10/22/2021,,Shipping,,
27,,"Box 24""x12""x10"" file storage",Uline,S-3888,$7.00 ,1/3/2022,,Admin,,
28,,"Box 3""x3""x3""",Uline,S-13287,$0.31 ,5/27/2021,,Shipping,,
576,,"Box, 10 x 5 x 3""        ",Uline,S-22621,$1.22 ,2/20/2025,bottom metal,Shipping,,
29,Stock,"Box 36"" x 15"" x 15"" w/inserts ",TN Valley Packaging,,,,holds 18 stocks,Shipping,,
30,Stock,"Box 36""x10""x10""",Uline,S-4672,$2.77 ,5/27/2025,holds 3-4 stocks,Shipping,,
31,Stock,"Box 36""x12""x12""",Uline,S-4418,$2.37 ,5/27/2025,holds 5-6 stocks,Shipping,,
32,Stock,"Box 36""x8""x4""",Uline,S-18427,$1.54 ,6/26/2025,holds 1-2 stocks,Shipping,,
33,Stock,"Box 40"" x 20"" x 20"" (for Midway)",Uline,S-18929,$15.11 ,3/24/2025,for Midway shipping,Shipping,,
34,Stock,"Box 7 5/8""x4 1/4""x3 3/4"" white mailers (two mug box)",Uline,S-6130,$1.51 ,2/24/2021,for small items,Shipping,,
98,,Breather Bleeder 4.5oz,Aircraft Spruce,01-14810,$3.45 ,4/25/2024,vacuum bagging,PL2,,
35,Stock,Bubble Sleeves,Associated Bag,"3/16""",,,,Shipping,,
36,,Bubble Sleeves,Associated Bag,,,,,Shipping,,
37,,"Bubble Wrap 1/2"" x 24"" X 250'",American Paper & Twine,PA-012-24P12,$50.50 ,4/20/2022,,Shipping,,
38,,"Bubble Wrap 1/2"" x 48"" x 250 perf 12""",American Paper & Twine,42637,$74.64 ,10/23/2024,big bubbles for AS products,Shipping,,
39,,"Bubble Wrap 3/16"" 24""x750'",American Paper & Twine,PA-316-24P12,$94.30 ,4/20/2022,,Shipping,,
289,,"Bucket, 2 gallon plastic",Amazon,,,7/18/2025,plugging,PL1,,
40,,"Buffing Compound Kit, United Abrasives",Amazon,,$20.37 ,1/28/2022,,"PL1, PL2",,
41,,Buffing Wheel,Amazon,,,,,PL1,,
42,Stock,"Buttpads, Medium",Lyman,7780,$8.50 ,9/10/2024,,PL1,,
43,Stock,"Buttpads, XL",Lyman,7287,$9.15 ,3/28/2022,,PL1,,
44,,"C-Clamp, steel sliding T-handle",McMaster,5027A16,$85.16 ,3/4/2022,mold assembly,"PL1, PL2",,
301,,"Carbon Fiber - 250F Epoxy - 39.4"" Wide x 0.011"" Thick - Standard Modulus - 3k 2x2 Twill Weave - (366 gsm OAW)",Rock West Composites,14033,,,,PL2,,
301a,4002P0001 RevH 4002P001RevK,Carbon Fiber Twill shell for Disruptor fuselage ,Rock West Composites,14033,,,Disruptor fuselage,PL2,,
301b,SG01291-001,Carbon Fiber Twill piece for Bandit tailcone,Rock West Composites,14033,,,Bandit tailcone,PL2,,
301c,SG01291-001,Carbon Fiber Twill piece for Bandit tailcone collar,Rock West Composites,14033,,,Bandit tailcone,PL2,,
301d,4002P001RevK,"Carbon Fiber Twill piece for Disruptor fuselage 2.0 3.75"" 0°",Rock West Composites,14033,,,Disruptor fuselage,PL2,,
301e,4002P001RevK,"Carbon Fiber Twill piece for Disruptor fuselage 2.0 22.25"" 90° ",Rock West Composites,14033,,,Disruptor fuselage,PL2,,
301f,4002P001RevK,"Carbon Fiber Twill piece for Disruptor fuselage 2.0 13.75"" 0°",Rock West Composites,14033,,,Disruptor fuselage,PL2,,
301g,4002P001RevK,"Carbon Fiber twill piece for Disruptor fuselage 2.0 3.5"" 45°",Rock West Composites,14033,,,Disruptor fuselage,PL2,,
301h,4002P001RevK,"Carbon Fiber twill piece for Disruptor fuselage 2.0 21.75"" 45°",Rock West Composites,14033,,,Disruptor fuselage,PL2,,
301i,4002P001RevK,"Carbon Fiber twill piece for Disruptor fuselage 2.0 13.5"" 45°",Rock West Composites,14033,,,Disruptor fuselage,PL2,,
542,SG01291-001,"Carbon Fiber - 250F Resin System - 39.37"" Wide x 0.006"" Thick - Standard Modulus - Unidirectional",Rock West Composites,14002,,,,PL2,,
542a,SG01291-001,Carbon Fiber 10in tailcone Collar 0 Deg Uni Ply,Rock West Composites,14002,,,Bandit tailcone,PL2,,
542b,SG01291-001,Carbon Fiber 10in tailcone Collar 90 Deg Uni Ply,Rock West Composites,14002,,,Bandit tailcone,PL2,,
542c,SG01291-001,Carbon Fiber 10in tailcone 90 Deg Uni Tapered Piece,Rock West Composites,14002,,,Bandit tailcone,PL2,,
542d,SG01291-001,Carbon Fiber 10in tailcone 90 Deg Uni Small Strip,Rock West Composites,14002,,,Bandit tailcone,PL2,,
542e,SG01291-001,Carbon Fiber 10in tailcone 0 Deg Uni,Rock West Composites,14002,,,Bandit tailcone,PL2,,
542f,4002P0001 RevH 4002P001RevK,Carbon Fiber Disruptor fuselage shell 0° Uni,Rock West Composites,14002,,,Disruptor fuselage,PL2,,
542g,4002P0001 RevH 4002P001RevK,Carbon Fiber Disruptor fuselage shell 90° Uni,Rock West Composites,14002,,,Disruptor fuselage,PL2,,
542h,4002P001 Rev K,"Carbon Fiber Disruptor fuselage piece 31"" x  36 7/8"" 90° Uni",Rock West Composites,14003,,,Disruptor fuselage,PL2,,
542i,4002P001 Rev K,"Carbon Fiber Disruptor fuselage piece 36"" x  36 7/8"" 90° Uni",Rock West Composites,14004,,,Disruptor fuselage,PL2,,
543,,Carbon Fiber - MTC581-C200T-AS4C-3K-42% RW50 twill,SHD,SHDUS0930-(1270)-50,,,,PL2,,
543a,SG01290-001,Carbon Fiber Twill piece for Bandit fuselage,SHD,SHDUS0930-(1270)-50,,,Bandit fuselage,PL2,,
550,,Carbon Fiber - VTC401-C200PW-282-PRIMETEX-AS4C-3K-42%RW-50 ,SHD,SHDUS0940-50,N/A,,,PL2,,
550a,SG01296,Carbon Fiber Bandit wing skin,SHD,SHDUS0940-50,N/A,,Bandit wing,PL2,,
550b,SG01545,Carbon Fiber Horizontal stabilizer shell,SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550c,SG01545,"Carbon Fiber horiz stabilizer reinforcement 10"" x 12"" w/ holes",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550d,SG01545,"Carbon Fiber horizontal stabilizer wing tip seam 18"" x 4""",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550e,SG01545,"Carbon Fiber horiz stabilizer reinforcement 24"" x 6"" x 4"" w/ holes",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550f,SG01545,Carbon Fiber Horizontal stabilizer shell -45° w/pre-cut holes,,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550g,SG01545,"Carbon Fiber vert attachment plate reinforcement 6"" x 2"" w/ holes",,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550h,SG01545,"Carbon Fiber horizontal stabilizer trailing edge seam 21"" x 2""",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550i,SG01545,"Carbon Fiber horiz stabilizer leading edge seam 24.5"" x 3""",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550j,SG01545,"Carbon Fiber horizontal stabilizer reinforcement 24"" x 6"" x 4""",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550k,SG01545,"Carbon Fiber Horizontal stabilizer shell +45° with ""XXs"" ",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer,PL2,,
550m,SG01544,Carbon fiber vertical stabilizer shell,SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550n,SG01544,"Carbon fiber vertical stabilizer bottom flange P10 21.25"" x 8.5""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550p,SG01544,"Carbon fiber vertical stabilizer bottom flange P9 21.25"" x 9.5""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550q,SG01544,"Carbon Fiber vert stabilizer bottom flange P8 21.25"" x 10.5""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550r,SG01544,"Carbon Fiber vert stabilizer bottom flange P7 21.25"" x 11.5""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550s,SG01544,"Carbon Fiber vert stabilizer bottom flange P6 21.25"" x 12.5""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550t,SG01544,"Carbon Fiber vertical stabilizer bottom flange P5 21.25"" x 13.5",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550u,SG01544,"Carbon Fiber vertical stabilizer bottom flange P4 21.25 "" x 14.5""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550v,SG01544,"Carbon Fiber vertical stabilizer top flange P10 15"" x 6""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550w,SG01544,"Carbon Fiber vertical stabilizer top flange P9 15"" x 7""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550x,SG01544,"Carbon Fiber vertical stabilizer top flange P8 15"" x 8""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550y,SG01544,"Carbon Fiber vertical stabilizer top flange P7 15"" x 9""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550z,SG01544,"Carbon Fiber vertical stabilizer top flange P6 15"" x 10""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550(1),SG01544,"Carbon Fiber vertical stabilizer top flange P5 15"" x 11""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550(2),SG01544,"Carbon Fiber vertical stabilizer top flange P4 15"" x 12""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550(3),SG01544,"Carbon Fiber vertical stabilizer leading edge seam 29"" x 3""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550(4),SG01544,"Carbon Fiber vertical stabilizer trailing edge seam 23"" x 3""",SHD,SHDUS0940-50,N/A,,Bandit vertical stabilizer,PL2,,
550(5),SG01544 SG01545,"Carbon Fiber reinforcement piece 3"" x 2""",SHD,SHDUS0940-50,N/A,,Bandit horizontal stabilizer Bandit vertical stabilizer,PL2,,
550(7),SG01544,"Carbon Fiber Elevator Shell 20 5/8"" x 6 5/8""",SHD,SHDUS0940-50,N/A,,Bandit elevator,PL2,,
550(8),SG01544,"Carbon Fiber Elevator Seam 20 5/8"" x 4""",SHD,SHDUS0940-50,N/A,,Bandit elevator,PL2,,
550(9),,"Carbon Fiber Rudder Shell 23"" x 14 3/4""",SHD,SHDUS0940-50,N/A,,Bandit Rudder,PL2,,
550(10),,Carbon Fiber Rudder Seam,SHD,SHDUS0940-50,N/A,,Bandit Rudder,PL2,,
550(11),SG01299-103,Carbon Fiber Aileron Shell,SHD,SHDUS0940-50,N/A,,Bandit Aileron,PL2,,
550(12),SG01299-103,Carbon Fiber Aileron Seam,SHD,SHDUS0940-50,N/A,,Bandit Aileron,PL2,,
552,,Carbon Fiber mtc581-ud150-sts40-24k-36%rw-610 uni,SHD,SHDUS0931-610,N/A,,,PL2,,
552a,SG01290-001,Carbon Fiber Bandit fuselage 0 Deg Uni,SHD,SHDUS0931-610,N/A,,Bandit fuselage,PL2,,
552b,SG01290-001,Carbon Fiber Bandit fuselage 90 Deg Uni,SHD,SHDUS0931-610,N/A,,Bandit fuselage,PL2,,
49,Stock,"Carbon Fiber, Chopped Flake 1/4""",Zoltek,,$11.00 ,,,PL1,,
64,,"Carbon Fiber tube, 0.035"" Wall Thickness, 0.320"" OD x 6'",McMaster,5287T72,$82.62 ,3/10/2025,Pivot tube back-up part,PL2,,
52,,"Cart, Black 30"", 1-Drawer",Harbor Freight,71213,$129.99 ,8/13/2024,AGAT,Facilities,,
53,,"Cart, Gray 36"", 1200 lbs",Global Industrial,WB752245,$249.50 ,9/23/2024,"they prefer the 48"" cart",Facilities,Global Industrial,752245
336,,"Casters, black rigid (set of 2 rigid & 2 swivel)",Global Industrial,WB232CP3,$49.95 ,9/27/2024,for holding tube,PL2,,
584,,"Casters, red rigid (pair) ZDNEY #"" x 2""",Amazon,X0048JO3PD,$52.99 ,9/27/2024,for holding tube,PL2,,
57,,"Casters, Samson 8"" open bearing",https://www.mcmaster.com/30305T16/,30305T16,$63.50 ,10/3/2024,tube trolleys,PL2,,
58,Stock,Catalyst,Sherwin Williams PO,V66V27,$242.47 ,2/18/2025,,PL1,,
59,,"Caution Post, yellow Do Not Enter",Uline,H-5097,,9/19/2024,,Facilities,,
55,,Certificate of Conformance,N/A,N/A,N/A,N/A,,PL2,,
56,,Certificate of Conformance - Traceability,Clearwater Composites,CofC Traceability,$75.00 ,,,PL2,,
60,,"Chair, mesh back, office task",Uline,H-3642,$143.00 ,2/18/2022,,Facilities,,
571,,Chalk,,,,,,PL1,,
R&D,,ChemTrend Chem Lease,Composites One,224488,,11/6/2024,R&D,PL2,,
62,,"Clear Coat Hardener, TCI 602",English Color,602Q,$40.00 ,9/30/2024,for tubes - old,PL2,,
63,,"Clear Coat, TCI 6050",English Color,6050G,$90.00 ,9/30/2024,for tubes - old,PL2,,
65,,"Coffee Creamer, N'Joy Non-Dairy",Amazon,,$12.60/6,3/22/2022,,Facilities,,
66,,Collet Screw On Adaptor ED20 Zeta,T-Tool,SCHED20Zeta,$36.10 ,10/9/2024,,PL3,,
67,,"Collet, ER-16, 3/16""",McMaster,3215A306,$37.00 ,3/2/2022,,PL3,,
68,,"Collet, ER-16, 3/8""",McMaster,3215A313,$37.00 ,3/2/2022,,PL3,,
69,,"Collet, ER-25, 1/2""",McMaster,3669N26,$41.00 ,3/2/2022,,PL3,,
70,,"Collet, ER-25, 1/4""",McMaster,3669N17,$41.00 ,3/2/2022,,PL3,,
71,,"Collet, ER-25, 3/8""",McMaster,3669N22,$41.00 ,2/1/2022,,PL3,,
72,,"Collet, ER-32, 1/2""",McMaster,3321A18,$46.00 ,3/2/2022,,PL3,,
73,,"Collet, ER-32, 3/8""",McMaster,3321A16,$46.00 ,3/2/2022,,PL3,,
74,,"Collet, ER16, 1/4""",McMaster,3215A308,$37.00 ,3/2/2022,,PL3,,
75,,"Compressor Oil, Smartoil 6000 synthetic 8,000 hrs.",Hertz Kompressoren USA,,,12/29/2021,,Facilities,,
76,,CoolSpace water treatment tablets (Big Ass Fan Evaporator),Mobile Distributor Supply,CLSCS-T101,$34.00/4,5/5/2022,one tablet every 6 wks,Facilities,,
77,,Cups and Lids (3M),English Color,16000,$146.83 ,4/25/2025,,PL1,,
78,,"Cups, 16 oz clear",Uline,S-22276,$80/1000,4/18/2022,,Facilities,,
79,,"Cups, 9 oz clear (short)",Uline,S-22273,$77/1000,5/5/2025,,"PL1, PL2",,
80,,"Cutting Table Blades, medium mkt for ttc",Gunnar,PT-GZ16,$44.00 ,4/7/2025,,"PL1, PL2",,
544,,Cutting table servo motor driver for Novex,Gunnar,PT-102291,,12/17/2024,,Services,,
82,,Deburring Blades (10 piece set),Amazon,7.38771E+11,$8.67 ,1/27/2022,,"PL1, PL3",,
81,,Defoamant - 1 (5 gal),SureChem,Defoamant-1,$290.00 ,3/3/2025,foam remover from coolant,PL3,,
83,,"Deluxe Folding Table - 48 x 24""",Uline,H-3137AGR,$175.00 ,3/30/2021,,Facilities,,
85,,Digital Caliper,McMaster,8647A42,$144.93 ,4/7/2022,,Facilities,,
86,,"Dish Detergent, Dawn",American Paper & Twine,744896,$57.76 ,9/3/2024,,Facilities,,
89,,"Disinfectant, spray, Lysol",Walmart,36241046750,$6.97 ,3/14/2022,,Facilities,,
92,,Disposable Mask,Uline,S-22137,$10.00 ,,,Facilities,,
90,,"Disposable Protective Coat, Tyvex",McMaster,5593T11,$5.60 ,4/30/2025,,Facilities,Uline,S-9647B-L
93,,"Disposable Protective Suit (L,XL,XXL) Tyvex",Zoro,G0083903,$172.99 ,9/23/2025,,Facilities,McMaster,5231T37
91,,"Disposable Sleeve, Tyvek PPE 18""",McMaster,5583T18,$1.39/pair,7/16/2025,,Facilities,Uline,S-13893E
438,4002P0001 RevH,"Disruptor 12"" fuselage tube",StrataG,,,,Disruptor fuselage,PL2,,
489,4002P0001 RevK,"Disruptor 12"" fuselage tube",StrataG,,,,Disruptor fuselage,PL2,,
100,,Dremel accessories,Amazon,,$19.99 ,2/3/2022,mold polishing,PL1,,
101,,"Dremel tool, variable speed",Amazon,7760N10,$54.97 ,2/15/2022,mold polishing,PL1,,
48,,"Drill adapter, tight-clearance right angle",McMaster,8787A14,$36.87 ,3/3/2025,,"PL1, PL2",,
358,,"Drill, spotting 5/8 x 1.25 x 3.5 Harvey Tool Co. 2F, coated AITin",MaxTool,12940-C3,$155.27 ,5/6/2025,cutting holes,PL3,,
108,,Drill Bit Dovetail HSS 1-3/8x45° for Arca Rails,Industrial Tooling ,10264,$89.10 ,10/21/2024,call office 256-353-5100,PL3,,
113,,"Drill Bit, 5mm diamond coated",McMaster,3162A59,$47.86 ,12/2/2024,,PL3,,
580,,Drill bit 3/64 x 1 3/4 uncoated,McMaster,8870A13,,4/10/2025,for AS parts,PL3,,
114,ok,"Drill Bit, 7 gauge 3 5/8"" long (uncoated)",McMaster,2901A178,$3.36 ,8/7/2024,,PL1,,
110,,"Drill Bit, 21 Gauge x 2-1/8"" TiN coated",Machining Resources,DN515221,$2.27 ,10/17/2025,swivel stud holes,"PL1, PL3",McMaster,2896A533
103,,"Drill Bit 21 gauge x 3.25"" TiN Coated",AFI,YGTD2GP187236,$1.77 ,7/7/2025,,PL1,McMaster,27995A633
102,ok,"Drill bit 1/8"" x 1 7/8"" black oxide",McMaster,2896A16,$1.75 ,11/14/2024,,PL1,,
557,,"Drill bit 1/8 x 1/2 x 1 1/2, style D fiberglass router ",MSC,30821516,$11.53 ,1/21/2025,AS tooling,PL3,,
549,,"Drill bit, 1/4"" x 2 3/8"" threaded shank",McMaster,8824A44,,3/3/2025,,"PL1, PL3",,
109,,"Drill bit, 1/4"" uncoated, 4""OAL",McMaster,8870A127,$26.75/12,3/23/2022,,PL3,,
111,ok,"Drill Bit, 5/16, 4 1/2"" long",Machining Resources,D1GP182020,$2.75 ,3/24/2025,75 on hand 7/10,PL1,McMaster,8870A132
112,ok,"Drill bit, 5/16"" x 3"" long",,,,,10 on hand 7/10,PL1,,
106,ok,"Drill bit 3/8"" x 5"" long",Machining Resources,D1GP182024,$3.70 ,7/27/2021,2 on hand 7/10,PL1,McMaster,8870A136
87,ok,"Drill bit 13/32 x 5.25"" long",,D1GP182026K YG1,,,3 on hand 7/10,PL1,,
